 ----------------------------------------------------------------------
 ----------          Welcome to Topology Optimizer          -----------
 ----------------------------------------------------------------------
                                                                       
       Version 2020 R1 (Build: 154) from 20191203                       
                                                                       
       Copyright 2020 ANSYS Inc. All Rights Reserved               
                                                                       
 ----------------------------------------------------------------------
 
       Execution time: Fri Oct  2 09:02:13 2020

 ----------------------------------------------------------------------
 
   Parameter setting:
      solver                   = Scpip
      ansys version            = 2020 R1
      design elements          = OptimizationRegionElements.dat
      feedersystem list:
       - Static system 'Static42' with id 42: 1 load case(s) at t = 1
      penalty parameter        = 3
      initial response scaling = yes
      minimum member size      = 0
      maximum member size      = 0
      minimum density          = 0.001
      restart information      = final
      mapdl ncnv               = 1e+12
      maximum iteration        = 500
      acc                      = 0.001
      units                    = MPA
      output frequency         = 1
      max intermediate files   = 500
      objective 1              = total mass [1]
      constraint 1             = global stress for load step number 1 of feeder system 'Static42' with upper bound 100
      method                   = SCP
      acc scp                  = 1e-06
      version scp              = 402
      cut off in scp           = 1
      linear inequalities remain in active set in scp = selected always
      initial penalty scp      = 1
      asymptote strategy       = program controlled

 ----------------------------------------------------------------------
   Start generating constant data...
   ...done
   Start generating tree...
   ...finished.
   Start generating element neighborhood...
    10 Percent done
    20 Percent done
    30 Percent done
    40 Percent done
    50 Percent done
    60 Percent done
    70 Percent done
    80 Percent done
    90 Percent done
   100 Percent done
   ...finished.
   Starting Ansys...
   Asymptote strategy applied: adaptive
 
  INITIAL SUMMARY
  ---------------
  Objective(s):
    [  1] Name: Objective
          Value : 1.70502e-01
 
  Constraint(s):
    [  1] Name: Global Von-Mises Stress Constraint
                             Value: 5.61551e+02 <= UB: 1.00000e+02  Deviation: 461.551 % NOTE: This is an approximation to the actual value: 518.857. The bound is not satisfied.
 
  Iter :  number of iterations
  #LS  :  number of line search iterations
  #ME  :  number of model evaluations

                                         max relative
                                         deviation of
                         objective       constraints     convergence
   Iter  #LS     #ME     measurement     in %            criterion
   ------------------------------------------------------------------
      1    1       1     1.00000e+00     4.61551e+02             ---
      2    2       3     9.75657e-01     4.35342e+02     4.37776e+00
      3    1       4     9.31200e-01     4.11545e+02     4.16102e+00
      4    1       5     9.17864e-01     3.89147e+02     3.90579e+00
      5    2       7     9.13496e-01     3.66455e+02     3.66931e+00
      6    1       8     9.01894e-01     3.65167e+02     3.66437e+00
      7    1       9     9.12155e-01     3.52008e+02     3.53146e+00
      8    1      10     9.01282e-01     3.49313e+02     3.50505e+00
      9    1      11     9.05757e-01     3.48312e+02     3.48808e+00
     10    2      13     9.02954e-01     3.41612e+02     3.41921e+00
     11    1      14     9.05966e-01     3.39128e+02     3.39462e+00
     12    1      15     9.03675e-01     3.37462e+02     3.37715e+00
     13    2      17     9.04160e-01     3.36798e+02     3.36852e+00
     14    1      18     9.05027e-01     3.36419e+02     3.36515e+00
     15    1      19     9.04573e-01     3.36237e+02     3.36287e+00
     16    1      20     9.04102e-01     3.35990e+02     3.36042e+00
     17    1      21     9.03388e-01     3.35837e+02     3.35916e+00
   Restart performed 
     18    1      22     9.03024e-01     3.53419e+02     3.53460e+00
     19    2      24     9.03270e-01     3.49040e+02     3.49067e+00
     20    2      26     9.03382e-01     3.44792e+02     3.44804e+00
     21    2      28     9.02634e-01     3.41766e+02     3.41848e+00
     22    2      30     9.04216e-01     3.40032e+02     3.40208e+00
     23    1      31     9.03566e-01     3.39234e+02     3.39306e+00
     24    1      32     9.03424e-01     3.38266e+02     3.38282e+00
     25    1      33     9.02822e-01     3.37932e+02     3.37998e+00
     26    1      34     9.02370e-01     3.37072e+02     3.37122e+00
     27    1      35     9.02212e-01     3.37047e+02     3.37065e+00
     28    1      36     9.01716e-01     3.36219e+02     3.36274e+00
     29    1      37     9.01925e-01     3.36169e+02     3.36192e+00
     30    1      38     9.01563e-01     3.35470e+02     3.35510e+00
     31    2      40     9.01735e-01     3.34507e+02     3.34526e+00
